condition,index,invented_count,notes
vague,1,0,원문과 사실 일치. 할루시네이션 없음
vague,2,0,원문과 사실 일치. 할루시네이션 없음
vague,3,0,원문과 사실 일치. 할루시네이션 없음
vague,4,0,원문과 사실 일치. 할루시네이션 없음
vague,5,0,원문과 사실 일치. 할루시네이션 없음
vague,6,0,원문과 사실 일치. 할루시네이션 없음
vague,7,0,원문과 사실 일치. 할루시네이션 없음
vague,8,0,원문과 사실 일치. 할루시네이션 없음
vague,9,0,원문과 사실 일치. 할루시네이션 없음
vague,10,0,원문과 사실 일치. 할루시네이션 없음
specific,1,0,"문서에 없는 정보(연동 지연 후 새 완료 예정일)를 정확히 '문서에 없음'으로 표시함"
specific,2,0,원문과 사실 일치. 할루시네이션 없음 (5줄 제약으로 일부 항목 생략)
specific,3,1,"F17(원래 4월 10일 연동 예정) 정보가 문서에 있는데도 '문서에 없음'이라고 잘못 표시함 — 과잉 방어형 오류"
specific,4,0,원문과 사실 일치. 할루시네이션 없음
specific,5,0,"지연 기간(구체 일수)이 문서에 없는 것을 정확히 '문서에 없음'으로 표시함"
specific,6,0,원문과 사실 일치. 할루시네이션 없음
specific,7,0,원문과 사실 일치. 할루시네이션 없음
specific,8,0,원문과 사실 일치. 할루시네이션 없음
specific,9,0,원문과 사실 일치. 할루시네이션 없음
specific,10,0,원문과 사실 일치. 할루시네이션 없음
